,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
LM 1_X,-0.021013537322530768,-0.0189124072895582,0.07388375463362626,-0.1379415680113281,-0.003340809979327944,-0.1319255686334262,-0.04227835771087987,-0.32055957700831256,-0.21397753291656385,0.0965784446022564,-0.22075414418539488,0.427907776358932,0.08203573007409547,0.18886364139941864,-0.0042077600301973364,-0.1812742582996638,0.2656421369297301,0.04712514469175892,-0.12637606258111173,0.1147980324922473,0.02282015802114963,0.14839173856468021,0.027282560737373077,-0.13021966911379892,0.08409352012782269,0.012159909375765382,0.2025971958101261,0.12645958314165748,-0.24462341366204288,-0.005075781375985096
LM 1_Y,-0.06092879446613786,0.08770853526916768,0.09117794708453314,-0.22473288686249998,-0.2968502802453878,-0.21355204792009536,0.029588203537965763,-0.08990528543834247,0.6453498104000278,0.27306853378454105,0.002335693816794722,0.06302395751120193,-0.07648204755475424,-0.10694415791173664,0.05446951175778591,0.1056278314070754,-0.07858509219785663,-0.18463341647087966,0.1512182887628512,0.11434738124383546,-0.00524037425709771,-0.14838300758662934,0.03851755242879276,0.0717732089655279,-0.1583697602461434,0.04111176818615009,-0.029407944881137932,0.012317947909242788,0.08857779893911252,0.012330441839812085
LM 1_Z,-0.08849998570887373,-0.2174973679322578,-0.3020510954643823,-0.49222169624512097,-0.04551253481043928,0.016149732823735878,-0.49419364905437696,0.2236077046910117,-0.09290454674471807,-0.24730627044510126,0.07593799779305621,-0.046573614272482744,-0.025160982404639428,-0.16281882894096492,0.18344753991068807,0.034019484766101185,-0.01238218401991016,0.008932562997874037,-0.10098157527322073,-0.09373343988111779,0.035896121724861174,0.16244167065525403,0.040825974314120224,0.12834230482953216,0.04499624087674245,0.037228806155419854,0.013515491214354696,-0.03135263290265137,0.026476570358836243,0.022767056736979638
LM 2_X,0.04823421804000001,0.44139668990544884,-0.06623880619738787,0.1335839621123611,0.0642810580896659,0.06708291136722094,-0.07647398644992806,-0.23193023289858483,-0.04819120511249038,0.0114106755983614,-0.08309331547146884,0.169905842613629,-0.03512893697596423,-0.021945269132014986,0.1385786552018222,0.08896571039450434,0.003597872323760145,0.38727989028753446,-0.0729801788070651,-0.014316337608724321,0.0420612304835107,-0.13878917404163912,0.17931670295040433,0.3654049385321502,-0.11765774589449474,-0.12115635726602617,-0.0073590290608995445,0.008601357926343454,-0.030467000123237803,0.04106026085191522
LM 2_Y,0.045927970800405525,0.3313658186441812,-0.03609419601862138,0.0013990077055031926,0.012383103310311044,0.10695312952796314,0.026925608200555413,-0.0979266055843747,-0.019697628041281518,-0.01193102846480952,0.015299858362077406,0.07748105877741814,-0.06757368547573071,-0.21524829910829688,-0.1143432866276308,-0.10573047516860334,0.04188701192104247,-0.3407796795508267,0.07688410866846519,-0.06070027987368315,-0.05639671531106664,0.19192706429159867,-0.12925869696487066,-0.4710367054724366,0.3529458741114977,0.0415619090642527,-0.0482156899231047,-0.147050226681166,0.1314052694282812,0.03470225827791678
LM 2_Z,-0.19204837664958319,0.2197223043439084,-0.11280391505356308,-0.043739223208852415,0.3127210780209265,-0.1944433149945524,-0.01096264186968415,-0.14547004864894206,-0.22529519663865158,0.021266788764211675,0.061559480855831725,-0.3237413466157303,0.22646228693599818,0.06271778277582983,-0.1513420715429264,0.11279351682909501,0.04337291982128654,-0.07974831686912921,0.18879084212280356,-0.26937810583352606,0.021365854957406488,-0.24668271628458743,-0.19764655875246093,0.03482054072828526,-0.15835772838896192,0.19391438199084826,-0.23846564063127929,-0.04334663770504773,-0.020569596056918032,-0.0067522225983395615
LM 3_X,0.011685254584046569,0.10702606348686705,0.2774668116048195,0.1834293039730018,-0.15541346220147106,0.06610544476544769,0.14773584199776155,0.16499010027423947,-0.08938795770514787,-0.4127130129906055,0.31947617468456696,0.04948202100300296,0.19492368198087948,-0.2969395402848692,-0.0625922878652286,-0.14664845165776746,0.02450169753559552,0.049731501838776546,0.07288809695416065,0.1074953278751743,-0.16786587434291503,0.010960916286318562,-0.02236088106534406,0.17336362672270966,-0.02719224849841808,-0.20684484234700354,0.1350806694289139,0.02829497469033228,0.19106265001627226,0.026103563367656957
LM 3_Y,0.07663401528240746,-0.1084002735002388,-0.04623372102295598,-0.0011374961752276488,0.04195680557366417,0.23272707860810135,0.0009646677787519857,0.33635966619631835,0.24739480919505638,0.1445906742010949,-0.22395156714165543,-0.05292235681432404,0.15746243533681692,0.21057249011420748,-0.33294866221884334,-0.4539559998595652,-0.04097130195433412,0.15429732345112301,-0.09429511408405376,-0.15627200059601015,0.12377399316785535,-0.0035407129597470693,-0.07399600912426926,-0.050245515613176576,-0.14655863655005757,-0.16672898745487055,-0.1312004930937596,0.024116314618063347,-0.033384319444858895,0.06036951826971869
LM 3_Z,0.0864659323682792,-0.38210000203685185,-0.008379934416623195,0.09819829977454979,0.0030215971805358493,0.03633774827658396,0.025074381342655425,-0.1984776552144137,-0.15562643555844882,-0.13607708717256986,-0.3889720823456884,-0.14924400943379507,-0.2141741252640257,0.15301796909311577,-0.08809577045855453,0.27281943618991394,-0.12110130172069992,-0.13968945048407105,0.2010025367728038,0.1713076411600629,-0.31507130653175336,-0.0007320597726536716,0.053881587529381596,0.0079847631579908,-0.09925816326235279,-0.130859181001604,0.032877919111545834,0.03436982013621438,0.1856536123669206,0.06899577557131882
LM 4_X,-0.11139122244444181,0.14808690918912815,0.3044063765398061,0.10333020991198015,-0.12726504878166833,0.02564917243709437,0.07899538946704611,0.3345752858106797,-0.12334848235095841,-0.05672176560287418,0.012597716771679717,-0.1035423695535472,-0.4571537822754988,0.16389508749864956,0.11661446721099927,0.19073032852870206,-0.2494133088654517,-0.006008333919856713,-0.24625474100161018,-0.11299063507565005,0.06139249075672922,-0.002724745911409706,0.021428969145531065,-0.1763898304518026,-0.04071086544597157,0.0806322813566144,-0.02576963427172049,0.07955139900835732,-0.3320981858148985,-0.029695467119119714
LM 4_Y,0.10821685540310416,-0.127344990048816,-0.17498145646507668,0.21555646481795196,0.05108208209868082,0.06731766400736244,0.10153795691264728,0.24545313567955018,-0.16881343316677305,0.5373347734082004,0.09717473847306594,-0.10759928280673293,0.29862727089005425,-0.07981214274826018,0.14612895238736243,0.13143911398761088,-0.11251516304456027,0.03812303358569914,-0.01331482392738253,0.3131395050175474,-0.002376032166276112,0.14605727702629911,0.10367210532493945,0.051483883145500786,0.1414437406617464,0.16492572681243042,0.09981730907578469,0.01327761062332317,0.09565965829363689,-0.04122994959271629
LM 4_Z,0.09671767011332377,-0.4810512800309789,-0.0001517652241729178,0.16427562220767933,0.1429364117445104,-0.07840195026543935,0.21308658584748694,-0.220716487858824,0.24449779863994967,-0.2195007256827014,0.3323894483871522,-0.004177676767568944,-0.0838378452672281,0.10464126724492366,0.11429071227471842,-0.04878623711742793,0.23596671327139895,0.06536974044202559,-0.03658137760665208,-0.11369708892014854,0.23964045349759508,-0.11892625026750327,-0.041663306523638415,-0.005281545430557648,0.12462577250828544,0.054054585128141576,-0.003470152779099415,-0.10523951076507171,-0.05769304430192132,-0.04028360174322916
LM 5_X,-0.025356242492153607,0.13678789142725975,0.04695364052445082,0.03072460699399373,0.13445559871357324,-0.05526634085236842,0.025056604570173894,0.12353281255546113,0.012295116789055174,-0.15736742805508222,-0.27515927331462064,-0.2856491318971614,-0.05536929912161404,0.044554444865812504,0.09719611329863206,-0.35709803571302245,0.23006878723324148,-0.24522215225549665,0.08897632867688092,0.14367624887147867,-0.014190199535438614,0.03191910964551706,0.2291382874398152,0.08595606274712725,-0.2579866611604021,0.09210447597275762,0.2698554085841552,-0.12307579479492887,0.03291681439982544,0.1839615055546177
LM 5_Y,-0.0901816068306174,-0.11239707571488747,-0.004065607314901755,-0.06694328228688765,0.08806049129765788,-0.09715046760160703,0.11342606890606877,0.040511538571782586,0.07753398051172182,-0.042102457045519084,-0.0020537960016075523,0.09273260336946067,0.10860538517535204,-0.2542899264738137,-0.16608489377071944,0.09850610131242418,-0.11091794825054803,0.24104173895285957,0.4025120387190877,-0.08873636086211971,-0.20385666891147539,0.27182287003599315,-0.01760475326780079,-0.10799843969859828,-0.10753809584357499,-0.09276490455664975,-0.03957676149867731,0.2633057535376773,-0.4118808015372142,0.2186867164884691
LM 5_Z,-0.1837611796509213,-0.10597334949872418,-0.04356313656029264,0.023363605428849386,0.1020685884520303,0.16495393958395196,-0.08672849777287274,0.013048497557986887,-0.05459022067261186,0.04785669453587506,0.17775360329372403,0.2987596772281138,0.04148849748213304,0.038481973337711674,0.02575890367558809,-0.0809164358398583,-0.09314170347457713,-0.11342773638107762,-0.1321955984152112,-0.13914203902655525,-0.23527901969493428,-0.431904395102465,0.38843149309589736,-0.2478575260881752,-0.08758766572734955,0.07900567908539477,-0.04995590148612289,0.22326978552136223,0.2383810055177979,0.2506918628976926
LM 6_X,-0.06441027936526883,0.06156619079107326,-0.08401337365844165,0.06867692482221499,-0.10491203932974028,-0.09625195084791416,-0.14092817562125273,0.10215276758283122,0.005720383568310468,-0.0527796829728583,0.020974337576425153,-0.050663230280039266,-0.1398727678492388,0.00553463090545006,0.09639287545825959,0.003991704213838831,0.1473512558246794,0.404169429092018,0.21679269069313087,0.3134748940782273,0.22051727090388223,-0.12241705200534876,-0.17260370714491488,-0.3280852533422112,-0.06725120626328686,0.25645571393406263,0.14481014557552124,-0.11217212707448983,0.09345214488110265,0.32479723505921654
LM 6_Y,-0.04318702161101089,0.0326667469663243,-0.09077662082441194,0.10785411992633434,-0.04053409912408928,-0.1920827872557967,0.04501415563189128,-0.012696777041508515,0.029439164546230773,0.1864025608366949,0.061697024938848204,-0.26835838412817115,-0.1980370864217394,-0.1244600681100387,-0.03341932069201079,-0.05073867610998329,0.26887297191534776,-0.16335730711547747,-0.11356809353226133,-0.20886596574462377,0.03152395076458236,0.13648897313246516,0.2115785085313764,0.2655678187069043,0.30992506348784826,-0.08476379685744849,0.05586399454271752,0.2869156948462276,-0.09580209071228016,0.3363289025678623
LM 6_Z,0.03846747322316489,0.0039026161869784837,-0.2744324630796949,0.11869930308695825,-0.6442035482114443,0.013632797801867312,0.017463827375927898,-0.1465555213279069,-0.14776660746500608,-0.11329819773136804,0.0048131152418609885,-0.0918816707353113,0.043521587279568966,0.11403311466966275,-0.24726649484667607,-0.04432914397536262,0.031234163002684334,0.04348250882887839,-0.0991981502458907,0.0886381240572188,0.030808674402176047,-0.03985466909480486,-0.041191494433604904,0.03239023406364427,0.04396676358648169,0.0687441837336269,-0.3413671194318984,0.1116992334066119,0.022688352672802243,0.20901145174447996
LM 7_X,-0.09649057171714634,0.009916249863223661,-0.16339617613064422,0.011621520273357491,0.27045270125342197,0.05583553043798444,-0.04812939567598815,-0.13224618022116655,0.08158558916152202,0.057865184524457824,-0.05191005408958137,-0.059544098984377784,-0.2620480601819618,-0.1395076270843923,-0.19371529896489115,-0.03871265168953308,-0.33508276607388154,0.1412178025879317,-0.13278012356335792,0.11693587839382918,0.06078369272642765,-0.17053408248628912,-0.1891351809563416,0.046698521150725834,0.2957838122712638,-0.35727303625768736,0.17115813736629848,-0.1682275484367736,0.06255000776169967,0.210105405798521
LM 7_Y,0.03927436891734938,-0.0076144423409726224,0.03564269727682647,0.1441689712297772,0.06663569325182583,0.22509725595186492,-0.036885655992417325,-0.2163532159669026,0.026472215178079853,0.010587770436201207,-0.02502308153087001,0.05289933462469287,0.041155998879767376,-0.023740869050826632,0.4111426394367244,-0.03768248494235222,-0.18216229811171045,-0.17996644361337208,-0.07053650214132237,-0.12043087550427016,0.24777899756708352,0.31702765014043144,-0.3834003973500425,0.031216621987378266,-0.29726425623036207,-0.023176559657644494,-0.08006897727710104,0.27851494379473124,0.19290529436987927,0.2654628517616923
LM 7_Z,0.23760721378179542,0.04063260966841097,-0.20683249657128042,0.15950936626580667,0.002111735950945912,0.211835131640401,0.036051357548964914,0.08528961867716447,0.12117412086159157,-0.08667557233373287,-0.038208498390118126,0.2749742970958027,0.04385805039596864,0.05900444659345387,0.05258944479750964,0.1744480791806383,-0.016612045574438405,-0.1574039182255979,0.06812793545008604,-0.15688667267872905,-0.10855594021903436,0.08188620872724654,0.11430230309676093,0.14687294006713722,-0.009748643193081571,0.15879607938758622,-0.084043273864529,-0.5432987981567509,-0.2819549796340229,0.2841309810437475
LM 8_X,0.17192856980722998,-0.0051192280868408956,0.4347207679144343,-0.0475507955409441,0.029578406061960758,-0.050783084763849025,-0.21543490544549856,0.18697337001388817,0.012315080418505587,0.13100423864334065,-0.08196676559404134,0.07312919364662998,0.02316732503604081,0.21466159064639834,-0.005194849324357567,0.2210128308298469,0.24143808157898006,0.19701751785086075,0.1600759778626318,-0.28910994168100285,-0.08659158627077299,0.041874461383871756,-0.08362731168328048,0.058300193890039056,0.25805346787389044,-0.02792538116487287,-0.06159973603430397,-0.01756522580897151,0.3483742026436778,0.22952957630531715
LM 8_Y,0.051570035954180415,-0.04250850876662792,0.06118945049945932,-0.22935818008483766,0.02974343335713474,-0.042835518316122215,0.11215470249659025,0.12634568130867993,-0.1335468018401255,0.10063301483211481,0.14865401945977894,0.11222757889211633,0.1092001681910858,-0.06533238608787642,-0.20463761783773232,0.29042601482546476,0.21165835585607803,-0.24271043261919412,-0.30443481666073346,0.16603568915247532,0.05653975979930726,-0.1812456456747651,-0.26378324008960147,0.012553578019326621,-0.2753750041159175,-0.17794770154500683,0.1941972070137844,-0.05372737575269794,-0.134675405581632,0.2923732336236902
LM 8_Z,-0.03546076001660238,-0.011859700495217966,0.2885733179244972,-0.3207661601146238,0.06654303832672322,-0.13698450577841473,0.17893991397841025,-0.1700025917103073,-0.030632021057272262,-0.08212612567012705,0.060429368410199455,-0.1486261688317567,0.24433020113464043,0.13106067578846423,0.1672384987696659,-0.17890730209211125,-0.39270685392586463,0.07515899289766462,-0.08377168684305923,0.17441102094407196,0.0005210684682049658,0.06493657129814746,0.2078954927617746,0.004385248496744923,0.19502242531452305,0.10874524792616716,-0.17927312349053567,-0.14563854108216523,-0.06695454478214377,0.314438186891345
LM 9_X,-0.12512190657906816,-0.04287715623231371,0.24787302448927045,-0.07515242301005193,0.060273906653166294,0.34859453112786304,-0.240943404533144,-0.21063076599913894,0.022918763106769078,0.10723548971657111,0.10462781232303894,-0.010573658717431874,-0.19433673281417732,-0.19358550974424749,-0.3339894233371027,-0.006289179939177473,0.09318707471480943,0.027627638438136076,-0.014189502775744598,0.15852581577038605,0.06176082635768586,0.19763341970117987,0.13754629378638178,0.14083381348638802,-0.12704602763476566,0.21881974288120198,-0.1325203929093535,-0.08897609632726614,0.024233126935773487,-0.16035629350622974
LM 9_Y,0.4828205662651764,0.040696010320870724,-0.029885068504918226,-0.04288023536892124,0.09389354237294523,-0.2559375859819048,-0.1762619510052854,0.12471722295021154,-0.13909701417884776,0.05017633971920652,0.07659231276061067,0.11408916650297313,-0.18246353742177462,-0.03789928056317936,0.17981830140562974,-0.24308359944594063,-0.02502401770639359,-0.14049560523388754,0.17211528789363675,0.20409838755446388,-0.0527480513006265,-0.19816614813585404,-0.07567785468466393,0.02380946487088907,-0.0031089359161635063,-0.22833432639781584,-0.3545881168483414,0.08135201549087075,-0.11660633586169417,-0.13624032330968616
LM 9_Z,0.45928227645736336,0.09743356967725537,-0.07769322217122808,0.017077186539721,0.07136702421023312,-0.2883974648686371,-0.035722423664779214,-0.10717071336184189,0.14647568275583947,-0.11893351070944028,0.03247129494056333,-0.16031396197284659,0.08713462821750213,-0.04745052539927876,-0.18338671834567483,0.1444304930727798,-0.11405395823712937,0.168199354101663,-0.38287325403200745,-0.13969786764982067,-0.08633243520997297,0.199433763072284,0.15790616462654267,-0.25146692917628566,-0.2028820988453022,0.09365895695655514,0.16034825845158604,0.03247774547042563,0.1621784641345086,-0.11087361376474897
LM 10_X,0.11745700769407313,-0.0514202451753316,0.13042112300127678,-0.10186799809752256,0.06410852852191805,0.39028681087845163,0.12548318513321258,-0.05885502848278215,0.0623893470431921,0.017740056051918075,-0.12601101068604031,-0.2626553094704842,0.034997326823438826,-0.20048153148394254,0.18226405520718106,0.03061472191526688,0.25956406554389816,0.11957342617537195,-0.14832942213381264,0.0998316445608789,-0.22112241088701193,-0.22545014815233216,-0.14156711801738275,-0.049305158672477783,0.11236066846868982,0.1408268760668251,-0.15668531847359074,0.10955563708760072,-0.19891047650528834,-0.05793032235162422
LM 10_Y,0.152107707655799,-0.035774865738488544,0.026389438298285165,-0.15933776491074383,-0.04506947439075534,0.10614199132150114,0.1897513831217128,-0.02424259255145065,-0.2731681399752555,0.12920563157101475,0.2605607845108689,0.04693943289870429,-0.1910026523750755,0.15928462749303648,-0.1958016454251839,-0.06404501912348119,-0.15453045286000813,-0.04969982538332903,0.3303178619583667,-0.11660488621172334,0.32953826004299897,0.023040443402444526,0.12234977268386851,0.10205329121149416,-0.07853564271242049,0.06342663500608853,0.19029703048508412,0.005701422099449424,0.05885364259772283,-0.045202416308528975
LM 10_Z,0.025293430461719685,-0.010227812376329975,0.0021590840786764732,-0.031865052718084166,-0.3506144490800717,0.14654774872975151,-0.14265540074294442,-0.1612007296580879,-0.027571788076569022,0.10118519707412704,-0.018224619770698867,-0.17539958064164382,0.19191005313392126,0.01475324457145039,0.19055705519844374,-0.08662525305016656,-0.1255802842018217,-0.00465213908867216,0.15017168507081513,-0.31937506499497226,-0.1102758539623427,-0.22076396212566693,-0.09304937542636524,-0.06975977594987297,0.06274039256543712,-0.11460724400783284,0.46694092914280333,-0.07382862495228615,-0.1711281503749417,-0.13811437356558104
LM 11_X,-0.160612884284364,0.21905624929803053,-0.36006120146685755,-0.1860900722777734,0.13088682538861252,0.1619974453098198,0.2772613350067965,0.10291096616882804,0.1747301897669887,-0.09618930633254423,0.1835465434214796,0.031187735457362347,-0.11552853588353837,0.38027221872856365,0.11944133320756999,0.0808752858945576,0.14562492589624698,0.07840397589395352,0.08540079315341843,0.10255991018785938,-0.21953497060876845,0.16550347439933316,-0.009339603987798236,-0.034168077549552034,0.0347177372509139,-0.09404400186508638,0.03720739186664968,0.18588955969012608,0.11144600522855762,-0.11824495944669397
LM 11_Y,-0.11423578580587761,-0.016283315432459342,-0.0032126916512471887,0.24958393152142602,0.09211219948087801,0.004217740792183757,-0.165314153061779,0.08399623838954055,0.10064373231486534,-0.1739428917273397,-0.17804142757382074,0.030863052535912955,0.22164048879506026,-0.13147057436901533,0.00642763773988375,0.23276913309175112,0.014576565607172067,-0.12796725371862605,0.12281022280880292,0.066289103260463,0.45177896465166134,-0.09817737308984133,0.30708221404999037,-0.1935718076609344,0.0971591306828843,-0.15068295898507367,-0.05264253017444192,0.1588809481421389,-0.10769805731331455,-0.07928067266955702
LM 11_Z,-0.26888304037239574,-0.16995564291173215,-0.03607619110576203,0.30979593810843664,0.028221439173922367,-0.2984905289791606,-0.051945747704353624,0.053241722574282335,-0.04676847008189473,0.14740659588037655,0.029370245290618987,0.16075300504453285,-0.16350782165784475,-0.16002504743302723,0.03912515054959558,-0.23867664459544552,-0.051239752199976125,0.0686800904691599,-0.07931493667896151,-0.12278085460969806,-0.2817527740027133,0.04923236082803812,-0.16151150444507578,0.05194262961092814,-0.12047806026740138,0.21888538099865282,0.0037184198403637943,-0.11941338622418862,-0.0008055661721385496,-0.04802898003731964
LM 12_X,-0.1426462597543648,-0.06442434767797273,-0.0533958822738375,-0.19735235640677473,-0.1044873515294879,-0.11699507567403135,0.47111866824031146,0.1304157940981082,-0.14597752124974422,-0.03839677133311124,-0.40523755840641357,0.18155706505437033,-0.008535504113378,-0.2720408171141503,0.09118893010594414,0.042457718279373224,0.030367734511301314,0.08091765920594382,-0.08174885359787644,-0.17969462365188504,0.1890510800295757,-0.042048719128193676,-0.0006262351893163778,0.06606527968787161,0.033675635929742306,-0.008136158343419748,-0.11683342218528243,-0.14306894370231826,0.2644763654809247,-0.14173159687794687
LM 12_Y,-0.0910184942034898,0.05475976176618147,0.05490028587952398,0.09694331728715498,0.05075426150518854,-0.09743220146110187,-0.12281725531426278,0.11168091810855275,0.14415446789457415,-0.22727598225827658,-0.09999377509867566,0.15274844108506466,0.17675341107103837,0.24564747027531972,-0.1802476379102028,0.04206811332136117,-0.1831763093091709,-0.18893090457642858,-0.06568678942089007,0.16106889937163554,-0.013102289612208686,-0.05666220638256776,-0.2756775926242318,0.3074296855866652,0.27417175104507835,0.30737041411321514,0.13693096364416124,0.18393711547140615,-0.0278928219252872,-0.10565493810392643
LM 12_Z,-0.33444261753457144,-0.020982205517710358,0.09858130142681773,0.12114552933312787,-0.09144645230655062,-0.10053341119473701,-0.12795423547548382,-0.044863032236220096,-0.01872924931991532,0.10178915234749422,0.14033939828847003,-0.10919538777652166,0.1429388762248294,0.24299572503847608,0.08460296160390882,0.06550423057912463,0.1102844082410813,-0.031656416283280295,-0.08867309224574774,0.08577953641242052,-0.04726034549825148,0.20642509561118863,0.03256483922799958,-0.09386241544508953,-0.08277455056666999,-0.44718331642334136,-0.182173212839564,-0.3325073922463561,0.001853803774571422,-0.0949646868718443
